,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk
5383,Super built-up  Area,18-Oct,Whitefield,2 BHK,ARipsul,1140.0,2.0,2.0,45.0,2.0
5384,Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,670.0,1.0,1.0,36.85,1.0
5385,Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2171.0,4.0,2.0,111.0,4.0
5386,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Gundaa ,1136.0,2.0,1.0,48.0,2.0
5389,Super built-up  Area,19-Dec,Yelahanka,2 BHK,Goues A,1040.0,2.0,1.0,48.86,2.0
5394,Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1070.0,2.0,2.0,46.0,2.0
5395,Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,1253.0,2.0,1.0,65.8,2.0
5396,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Srmesun,1190.0,2.0,2.0,60.0,2.0
5397,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sparam ,1312.0,2.0,2.0,55.0,2.0
5398,Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,750.0,2.0,0.0,40.0,2.0
5399,Built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1615.0,3.0,2.0,115.0,3.0
5401,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gotis A,1745.0,3.0,3.0,100.0,3.0
5404,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1220.0,2.0,1.0,44.6,2.0
5407,Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,Covelrs,1385.0,2.0,3.0,65.0,2.0
5409,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2017.0,2.0,2.0,125.0,3.0
5410,Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,400.0,1.0,1.0,10.0,1.0
5413,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Aklia R,1125.0,2.0,1.0,47.0,2.0
5414,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Javasi ,1551.0,2.0,2.0,60.0,3.0
5418,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,SrncyRe,1060.0,2.0,1.0,48.0,2.0
5419,Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,ReudePr,1384.0,2.0,2.0,59.0,2.0
5421,Super built-up  Area,18-Jun,Bommasandra,2 BHK,SSestth,1005.0,2.0,1.0,39.77,2.0
5424,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,SrisePo,2400.0,3.0,3.0,88.0,3.0
5425,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Rabow R,1096.0,2.0,1.0,39.0,2.0
5432,Super built-up  Area,18-Mar,Bellandur,3 BHK,NiCodCa,1685.0,3.0,3.0,100.0,3.0
5433,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1580.0,3.0,3.0,53.56,3.0
5434,Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1210.0,2.0,1.0,83.0,2.0
5435,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,DSOakil,1030.0,1.0,2.0,25.75,2.0
5437,Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255.0,3.0,2.0,77.68,3.0
5438,Super built-up  Area,20-Dec,Jakkur,3 BHK,ArndsSk,1482.0,3.0,2.0,86.0,3.0
5439,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1344.0,2.0,1.0,108.0,2.0
5444,Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1320.0,3.0,3.0,226.0,3.0
5445,Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1532.0,3.0,2.0,98.13,3.0
5446,Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Maerar ,1245.0,2.0,2.0,110.0,2.0
5450,Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,2257.0,3.0,2.0,159.0,3.0
5452,Super built-up  Area,Ready To Move,Gunjur,2 BHK,Akncyes,1080.0,2.0,2.0,41.0,2.0
5454,Super built-up  Area,Ready To Move,Varthur,3 BHK,Vaensia,1360.0,2.0,3.0,85.0,3.0
5457,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418.0,2.0,2.0,104.0,2.0
5461,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1400.0,2.0,2.0,40.44,3.0
5465,Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1175.0,2.0,1.0,69.0,2.0
5466,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185.0,2.0,1.0,40.17,2.0
5468,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,S2kaaan,1178.0,2.0,2.0,40.43,2.0
5470,Super built-up  Area,Ready To Move,Whitefield,1 BHK,UKe 2nz,825.0,1.0,1.0,44.9,1.0
5472,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.12,2.0,2.0,55.0,2.0
5474,Super built-up  Area,Ready To Move,Gottigere,2 BHK,Srncyla,1010.0,2.0,1.0,35.0,2.0
5475,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,900.0,2.0,1.0,41.0,2.0
5479,Super built-up  Area,18-Jun,Hosur Road,2 BHK,PuendWe,1194.0,2.0,1.0,71.64,2.0
5482,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1108.0,2.0,1.0,67.15,2.0
5483,Built-up  Area,Ready To Move,Hebbal,4 BHK,RMudeat,3895.0,2.0,1.0,451.0,4.0
5484,Super built-up  Area,21-Jan,Kanakpura Road,2 BHK,PrarePa,700.0,2.0,1.0,34.99,2.0
5487,Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,LIandee,1250.0,2.0,2.0,33.0,2.0
5489,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140.0,2.0,1.0,49.27,2.0
5492,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Sronda ,982.0,2.0,2.0,55.0,2.0
5493,Built-up  Area,Ready To Move,9th Phase JP Nagar,1 BHK,NaensGa,600.0,1.0,0.0,20.0,1.0
5494,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2640.0,5.0,1.0,142.0,3.0
5495,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,DLhtsnd,1314.0,2.0,2.0,68.8,2.0
5497,Super built-up  Area,18-May,1st Phase JP Nagar,2 BHK,Inntsth,1077.0,2.0,2.0,93.0,2.0
5502,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116.0,2.0,1.0,51.91,2.0
5503,Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,1020.0,2.0,1.0,41.82,2.0
5507,Built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt ,1241.0,2.0,1.0,61.0,3.0
5508,Super built-up  Area,Ready To Move,Hennur,2 BHK,MDncyhi,1041.0,2.0,2.0,40.6,2.0
5509,Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Jaw 2 L,1050.0,2.0,2.0,46.0,2.0
5511,Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1309.0,2.0,3.0,64.39,2.0
5513,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,7 ise P,1430.0,2.0,1.0,50.0,3.0
5514,Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,1065.0,2.0,1.0,47.86,2.0
5518,Carpet  Area,18-Dec,Bhoganhalli,4 BHK,Rosha I,1548.3,4.0,1.0,129.0,4.0
5519,Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,Goateds,2302.0,4.0,2.0,300.0,4.0
5521,Super built-up  Area,19-Mar,Hosa Road,3 BHK,Sosisic,1525.84,3.0,1.0,117.0,3.0
5522,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200.0,2.0,2.0,42.6,2.0
5526,Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918.0,2.0,1.0,49.0,2.0
5527,Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255.0,2.0,1.0,90.0,3.0
5532,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Iseenst,1227.0,2.0,2.0,53.49,2.0
5533,Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1255.0,3.0,2.0,77.68,3.0
5535,Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1198.0,2.0,1.0,82.0,2.0
5539,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072.0,4.0,2.0,139.0,3.0
5540,Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,Shvarji,797.0,2.0,1.0,32.0,2.0
5543,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215.0,4.0,2.0,160.0,3.0
5544,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,30.0,1.0
5550,Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,SVoutow,1006.0,2.0,1.0,57.0,2.0
5552,Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,65.7,2.0
5555,Super built-up  Area,Ready To Move,Banashankari,2 BHK,Bregae ,1390.0,2.0,2.0,86.0,2.0
5558,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Cearuy ,1170.0,2.0,1.0,33.0,2.0
5559,Super built-up  Area,Ready To Move,Gottigere,3 BHK,Apentir,1385.0,2.0,2.0,50.0,3.0
5561,Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1160.0,2.0,1.0,33.5,2.0
5562,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1200.0,2.0,2.0,69.0,3.0
5563,Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,3Codeli,1475.0,2.0,2.0,55.0,2.0
5564,Built-up  Area,20-Jul,Sarjapur  Road,3 Bedroom,NVdenic,1939.0,3.0,0.0,98.0,3.0
5565,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Prhna S,850.0,2.0,2.0,42.0,2.0
5566,Built-up  Area,17-May,Balagere,1 BHK,Soresea,675.0,1.0,1.0,45.0,1.0
5567,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060.0,2.0,1.0,51.0,2.0
5568,Super built-up  Area,18-Jun,Whitefield,2 BHK,SSdhimr,1235.0,2.0,2.0,47.0,2.0
5571,Super built-up  Area,Ready To Move,Banashankari,2 BHK,Ajacea ,1460.0,2.0,3.0,70.0,2.0
5572,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1690.0,3.0,2.0,85.0,3.0
5573,Built-up  Area,Ready To Move,Indira Nagar,1 BHK,GoilsDa,850.0,1.0,2.0,57.0,1.0
5574,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843.0,3.0,2.0,82.0,3.0
5575,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680.0,3.0,2.0,117.0,3.0
5576,Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,1047.0,2.0,1.0,84.0,2.0
5580,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Shmai D,1095.0,2.0,2.0,38.33,2.0
5582,Plot  Area,Ready To Move,Bommanahalli,5 Bedroom,Duavenc,1200.0,7.0,2.0,125.0,5.0
5583,Built-up  Area,Ready To Move,Hosa Road,3 BHK,Saowsou,1100.0,2.0,3.0,85.0,3.0
5584,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1685.0,3.0,2.0,85.0,3.0
5586,Built-up  Area,Ready To Move,Marathahalli,2 BHK,Palanla,1050.0,2.0,1.0,65.0,2.0
5587,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1465.0,2.0,1.0,76.0,3.0
5589,Built-up  Area,17-Dec,Electronic City,1 BHK,Prarkun,630.0,1.0,1.0,60.0,1.0
5590,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850.0,3.0,1.0,150.0,3.0
5595,Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Brway G,1440.0,2.0,2.0,185.0,2.0
5600,Super built-up  Area,Ready To Move,Gottigere,2 BHK,MBireap,1410.0,2.0,2.0,45.0,2.0
5601,Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1434.0,2.0,1.0,67.39,3.0
5603,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160.0,2.0,2.0,42.0,2.0
5604,Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,Ste 2al,1343.0,2.0,2.0,86.0,2.0
5606,Super built-up  Area,Ready To Move,Koramangala,3 BHK,Proodt ,2246.0,3.0,0.0,300.0,3.0
5611,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550.0,3.0,3.0,65.11,3.0
5612,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Apows M,1345.0,2.0,1.0,57.0,3.0
5613,Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Assha A,975.0,2.0,2.0,45.0,3.0
5614,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140.0,2.0,2.0,46.0,2.0
5615,Super built-up  Area,18-Aug,JP Nagar,2 BHK,DSvvyx ,1152.0,2.0,1.0,34.56,2.0
5621,Super built-up  Area,18-Mar,Kadugodi,3 BHK,Alestrb,1762.0,3.0,3.0,112.0,3.0
5622,Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Mameser,560.0,2.0,1.0,16.6,2.0
5624,Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1410.0,2.0,2.0,38.0,3.0
5625,Super built-up  Area,19-Dec,Thanisandra,3 BHK,DSity S,1853.0,3.0,1.0,64.86,3.0
5627,Super built-up  Area,18-Jan,Hebbal,2 BHK,Prersis,1138.0,2.0,1.0,110.0,2.0
5628,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Adntsra,2556.0,3.0,2.0,169.0,3.0
5633,Super built-up  Area,19-Jun,Whitefield,3 BHK,VaiteEx,1870.0,3.0,2.0,138.0,3.0
5634,Super built-up  Area,18-May,Panathur,2 BHK,Prcesvy,1199.0,2.0,1.0,86.0,2.0
5640,Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,1047.0,2.0,1.0,83.0,2.0
5645,Super built-up  Area,Ready To Move,Jakkur,3 BHK,HRaniIb,1645.0,3.0,1.0,100.0,3.0
5650,Super built-up  Area,18-Apr,Hosur Road,3 BHK,PuendWe,1766.0,3.0,1.0,130.0,3.0
5653,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1221.0,3.0,3.0,52.0,3.0
5655,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Adeatlm,1278.0,2.0,2.0,90.0,2.0
5656,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,PentyVB,1025.0,2.0,2.0,66.0,2.0
5657,Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1175.0,2.0,1.0,39.0,2.0
5663,Super built-up  Area,18-Apr,Sarjapur,1 BHK,SNityVe,625.0,1.0,1.0,19.0,1.0
5667,Super built-up  Area,Ready To Move,JP Nagar,1 BHK,Brine J,750.0,1.0,1.0,52.5,1.0
5672,Plot  Area,Ready To Move,Mysore Road,2 Bedroom,SrageGl,900.0,2.0,0.0,65.0,2.0
5673,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,MJtroty,1116.0,2.0,2.0,37.0,2.0
5678,Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,Pride S,1760.0,3.0,2.0,127.0,3.0
5679,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chllea ,4400.0,5.0,3.0,525.0,4.0
5680,Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,HoAcela,1914.0,3.0,3.0,179.0,3.0
5681,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820.0,3.0,2.0,85.5,3.0
5682,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820.0,3.0,2.0,93.0,3.0
5683,Built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Rahidhi,1565.0,3.0,2.0,78.0,3.0
5684,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Nihtsur,1334.0,2.0,3.0,42.69,2.0
5686,Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,914.0,2.0,2.0,49.0,2.0
5688,Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,2145.0,3.0,3.0,125.0,3.0
5691,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3940.0,4.0,3.0,220.0,4.0
5696,Super built-up  Area,Ready To Move,Bommasandra,2 BHK,Heatee ,1014.0,2.0,1.0,35.0,2.0
5698,Super built-up  Area,Ready To Move,Attibele,2 BHK,Inenshe,695.0,1.0,1.0,25.0,2.0
5702,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1180.0,2.0,2.0,41.0,2.0
5703,Super built-up  Area,20-Aug,Begur Road,4 BHK,Pruthg ,2400.0,4.0,2.0,152.0,4.0
5704,Super built-up  Area,Ready To Move,Attibele,2 BHK,Inenshe,850.0,1.0,1.0,25.0,2.0
5705,Super built-up  Area,Ready To Move,Banashankari,2 BHK,Koestpt,1200.0,2.0,1.0,60.0,2.0
5707,Super built-up  Area,Ready To Move,Hoodi,3 BHK,Keers S,1769.0,3.0,3.0,96.87,3.0
5709,Carpet  Area,18-Dec,Bhoganhalli,4 BHK,Rosha I,1554.3,4.0,1.0,131.0,4.0
5716,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Palanla,1435.0,3.0,1.0,73.0,3.0
5717,Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,3405.1,6.0,3.0,400.0,4.0
5718,Built-up  Area,Ready To Move,Kodihalli,3 BHK,KAMESRI,1620.0,3.0,2.0,130.0,3.0
5723,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025.0,2.0,1.0,49.0,2.0
5724,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430.0,2.0,3.0,54.5,3.0
5725,Super built-up  Area,Ready To Move,Panathur,2 BHK,Diensso,1235.0,2.0,3.0,65.0,2.0
5726,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,NianaBr,1291.0,2.0,3.0,32.0,3.0
5727,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1498.0,3.0,2.0,95.0,3.0
5728,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2180.0,3.0,2.0,240.0,3.0
5733,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,CMhamai,1123.0,2.0,2.0,64.0,2.0
5734,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GRvanun,1235.0,2.0,1.0,75.0,2.0
5737,Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,984.0,2.0,1.0,45.91,2.0
5738,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,PuineSu,1305.0,2.0,1.0,99.0,2.0
5741,Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790.0,5.0,3.0,204.0,4.0
5742,Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brglede,2010.0,3.0,2.0,125.0,4.0
5746,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,DLhtsnd,1265.0,2.0,3.0,67.0,2.0
5751,Super built-up  Area,Ready To Move,Ardendale,2 BHK,AWharde,1224.0,2.0,2.0,70.0,2.0
5755,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1449.0,3.0,2.0,90.0,3.0
5759,Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Srncyya,1200.0,2.0,3.0,78.0,2.0
5761,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Vincyat,1000.0,2.0,2.0,58.0,2.0
5762,Plot  Area,18-Oct,Devanahalli,4 Bedroom,Amais V,2400.0,5.0,2.0,190.0,4.0
5763,Super built-up  Area,21-Dec,Thanisandra,3 BHK,Bhe 2ko,1732.0,3.0,1.0,85.73,3.0
5764,Super built-up  Area,Ready To Move,Banashankari,2 BHK,Bregae ,1290.0,2.0,2.0,80.0,2.0
5766,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1917.0,4.0,2.0,100.0,3.0
5769,Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2774.0,4.0,3.0,208.0,4.0
5772,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1655.0,3.0,1.0,113.0,3.0
5773,Super built-up  Area,18-Mar,Haralur Road,4 BHK,SNnia E,2805.0,5.0,3.0,160.0,4.0
5779,Plot  Area,Ready To Move,Yelahanka,4 Bedroom,InllaPa,1800.0,4.0,2.0,180.0,4.0
5782,Super built-up  Area,Ready To Move,Whitefield,1 BHK,UKe 2nz,530.0,1.0,1.0,29.44,1.0
5784,Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883.0,2.0,1.0,37.0,2.0
5786,Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,SVodsve,1295.0,2.0,2.0,95.0,2.0
5790,Super built-up  Area,Ready To Move,Bellandur,2 BHK,MancyRe,1063.0,2.0,1.0,58.0,2.0
5791,Super built-up  Area,Ready To Move,Balagere,1 BHK,Soresea,656.0,1.0,1.0,43.0,1.0
5793,Super built-up  Area,18-Dec,Marathahalli,2 BHK,Unezes ,881.0,2.0,1.0,48.06,2.0
5795,Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,700.0,1.0,1.0,32.0,2.0
5797,Super built-up  Area,18-Dec,Hosa Road,3 BHK,SJerse ,1680.0,3.0,1.0,101.0,3.0
5799,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,3.0,230.0,3.0
5802,Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,2100.0,4.0,2.0,145.0,3.0
5803,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,58.0,2.0
5806,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1125.0,2.0,1.0,29.25,2.0
5808,Super built-up  Area,Ready To Move,Electronic City,2 BHK,DSgmax ,1210.0,2.0,1.0,54.0,2.0
5810,Built-up  Area,18-Apr,Electronic City,3 BHK,GMown E,1500.0,2.0,1.0,75.0,3.0
5812,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1381.0,2.0,2.0,76.18,3.0
5813,Super built-up  Area,18-Dec,Whitefield,2 BHK,BSlasin,1085.0,2.0,1.0,57.0,2.0
5814,Super built-up  Area,18-Apr,Whitefield,1 BHK,Prtates,905.0,1.0,1.0,50.0,1.0
5815,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,MItatHa,1685.0,3.0,2.0,95.0,3.0
5816,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1200.0,2.0,2.0,75.0,2.0
5817,Super built-up  Area,Ready To Move,Anandapura,2 BHK,ViensRK,1151.0,2.0,1.0,42.9,2.0
5818,Built-up  Area,Ready To Move,Brookefield,4 Bedroom,Goodsrb,3532.0,3.0,3.0,170.0,4.0
5819,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1665.0,3.0,2.0,86.91,3.0
5820,Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,800.0,2.0,1.0,40.0,2.0
5822,Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,Ahntyve,1030.0,2.0,2.0,46.5,2.0
5823,Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257.0,2.0,1.0,71.03,2.0
5824,Super built-up  Area,18-Dec,Whitefield,3 BHK,BSlasin,1600.0,3.0,2.0,82.0,3.0
5825,Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRlpank,1465.0,3.0,3.0,75.0,3.0
5826,Super built-up  Area,Ready To Move,Jakkur,3 BHK,HRaniIb,1650.0,3.0,2.0,111.0,3.0
5830,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Jainaht,1300.0,2.0,2.0,82.0,2.0
5831,Built-up  Area,Ready To Move,KR Puram,2 BHK,Hoston ,1000.0,2.0,1.0,44.5,2.0
5832,Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1146.0,2.0,1.0,53.8,2.0
5836,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1255.0,2.0,2.0,40.0,2.0
5837,Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130.0,2.0,2.0,60.0,2.0
5838,Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Shers S,1200.0,2.0,1.0,60.0,2.0
5839,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,ARineun,1040.0,2.0,1.0,37.0,2.0
5842,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Shony S,1180.0,2.0,1.0,41.3,2.0
5846,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1374.0,3.0,2.0,51.0,3.0
5852,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2384.0,4.0,2.0,165.0,3.0
5854,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Neite T,1200.0,2.0,1.0,54.0,2.0
5855,Built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2017.0,3.0,2.0,105.0,3.0
5861,Built-up  Area,18-Mar,Whitefield,1 BHK,Prtates,905.0,1.0,1.0,52.0,1.0
5862,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1303.0,2.0,1.0,55.79,2.0
5864,Super built-up  Area,Ready To Move,Gottigere,3 BHK,SMshi M,1380.0,2.0,2.0,95.0,3.0
5865,Super built-up  Area,Ready To Move,Harlur,3 BHK,Shodsir,1620.0,3.0,1.0,110.0,3.0
5867,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Maager ,1000.0,2.0,1.0,38.5,2.0
5873,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1322.0,2.0,2.0,75.0,2.0
5875,Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,HoAcela,1500.0,3.0,2.0,125.0,3.0
5876,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Mancya ,1256.0,2.0,2.0,50.0,3.0
5877,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Neestna,941.0,2.0,2.0,48.0,2.0
5878,Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Soacyst,5000.0,4.0,3.0,465.0,4.0
5879,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1665.0,3.0,2.0,86.58,3.0
5886,Super built-up  Area,21-Mar,Kanakpura Road,1 BHK,GolusLi,712.0,1.0,1.0,38.44,1.0
5890,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Thuse F,1200.0,2.0,1.0,49.0,2.0
5896,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Suitea ,1380.0,2.0,1.0,42.0,2.0
5897,Super built-up  Area,18-May,Hebbal,2 BHK,Arcia S,1088.0,2.0,2.0,62.0,2.0
